Building IRN,Building Name,District IRN,District Name,County,Street address,City and Zip code,Phone #,Principal,Grade Span,Open/Closed Status,Designation,Number of standards met,Number of standards possible,Enrollment,Attendance 2005-06,Performance Index Score 2005-06
118141,Millcreek Elementary School,049064,Southern,Perry,10397 State Route 155 SE,"Corning, Ohio  43730-9710",(740) 394-2734,Mary Lou Wycinski,K-4,Open,Effective,4,6,316,95.0,92.1
118158,Canal Winchester Middle School,046946,Canal Winchester,Franklin,100 Washington St,"Canal Winchester, Ohio  43110-1224",(614) 833-2151,Cassandra J. Miller,7-8,Open,Effective,4,5,463,95.1,92.9
118257,Kilbourne Middle School,045138,Worthington,Franklin,50 E Dublin Granville Rd,"Worthington, Ohio  43085-3101",(614) 883-3500,Pamela M. Van Horn,7-8,Open,Excellent,5,5,370,95.3,102.5
118323,North Ridgeville Education Ctr Elementary School,044537,North Ridgeville,Lorain,5490 Mills Creek Ln,"North Ridgeville, Ohio  44039-2339",(440) 353-1100,James E. Powell,K,Open,NC,1,1,141,95.7,
118331,Crooksville K-8 Elementary School,045351,Crooksville,Perry,12400 Tunnel Hill Rd,"Crooksville, Ohio  43731-9558",(740) 982-7010,John J. Toeller,K-5,Open,Effective,4,8,517,95.2,91.3
118414,Cuyahoga Hts Middle School,046557,Cuyahoga Heights,Cuyahoga,4840 E 71st St,"Cuyahoga Heights, Ohio  44125-1043",(216) 429-5757,Thomas D. Burton,6-8,Open,Excellent,7,7,196,96.4,105.2
118620,Sharp Run Elementary School,047688,East Holmes Local Schools,Holmes,PO Box 159,"Charm, Ohio  44617-0159",(330) 674-9567,Jon Wilson,K-8,Open,Excellent,4,5,65,97.6,101.6
118828,Loveland Elementary School,044271,Loveland,Hamilton,600 Loveland Madeira Rd,"Loveland, Ohio  45140-2703",(513) 683-4333,Alan R. Brookes,3-4,Open,Excellent,6,6,700,96.4,105.2
119438,Hilliard Weaver Middle School,047019,Hilliard,Franklin,4600 Avery Rd,"Hilliard, Ohio  43026-9718",(614) 529-7424,Edward J. O'Reilly,7-8,Open,Excellent,5,5,754,95.6,101.3
119768,Cherokee Elementary School,046110,Lakota,Butler,5345 Kyles Station Rd,"Liberty Twp, Ohio  45011-8400",(513) 755-8200,Elizabeth Spurlock,1-6,Open,Effective,9,10,901,96.9,99.2
119776,Independence Elementary School,046110,Lakota,Butler,7480 Princeton Rd,"Liberty Township, Ohio  45044-9619",(513) 755-8300,Greg E. Finke,1-5,Open,Excellent,8,8,769,96.8,100.5
119792,Holloway Elementary School,048223,Springfield Local Schools,Lucas,6611 Pilliod Rd,"Holland, Ohio  43528-9580",(419) 867-5702,William H. Renwand,K-5,Open,Excellent,8,8,441,96.1,102.6
119941,Ottawa-Glandorf Complex Elementary School,049379,Ottawa-Glandorf,Putnam,630 Glendale Ave,"Ottawa, Ohio  45875-1162",(419) 523-6464,,P,Open,NC,0,1,NC,0.0,
120212,Willard Grizzell Middle School,047027,Dublin,Franklin,8705 Avery Rd,"Dublin, Ohio  43017-9511",(614) 798-3569,Timothy F. Barton,6-8,Open,Excellent,7,7,874,95.8,107.6
120261,Northwest Middle School,049635,Northwest,Scioto,692 Mohawk Dr,"Mc Dermott, Ohio  45652-9000",(740) 259-2528,Gregory M. Tipton,6-8,Open,Continuous Improvement,4,7,389,93.4,89.4
120279,Northwest Elementary School,049635,Northwest,Scioto,4738 Henley Deemer Rd,"Mc Dermott, Ohio  45652-9050",(740) 259-2250,Brian S. Martin,K-5,Open,Effective,4,8,805,93.5,90.2
120337,Mt  Orab Middle School,046060,Western Brown Local School District,Brown,472 W Main St,"Mount Orab, Ohio  45154-9452",(937) 444-2529,Kevin Kratzer,5-8,Open,Effective,7,9,720,95.5,93.6
120360,Blacklick Elementary School,046961,Gahanna-Jefferson,Franklin,6540 Havens Corners Rd,"Blacklick, Ohio  43004-8415",(614) 759-5100,Robin G. Schmidt,K-5,Open,Effective,6,8,466,96.5,98
120485,Dublin Scioto High School,047027,Dublin,Franklin,4000 Hard Rd,"Dublin, Ohio  43016-8349",(614) 717-2464,Marina A. Davis,9-12,Open,Excellent,12,12,1154,94.0,107.3
120501,Norton 21 Elementary School,044552,Norton City Schools,Summit,4138 Cleveland Massillon Rd,"Norton, Ohio  44203-5633",(330) 825-3828,Hollings M. Belcher,1-4,Open,Excellent,6,6,86,96.1,106.8
121434,Ripley Union Lewis Huntington Elementary School,046078,Ripley-Union-Lewis-Huntington,Brown,502 S 2nd St,"Ripley, Ohio  45167-1306",(937) 392-1141,Linda Jane H. Massie,K-4,Open,Effective,5,6,450,94.6,98.3
121525,Buckeye Woods Elementary School,044800,South-Western,Franklin,2525 Holton Rd,"Grove City, Ohio  43123-8985",(614) 801-8025,Janet M. Wilson,K-4,Open,Excellent,6,6,758,96.0,98.4
121533,Darby Woods Elementary School,044800,South-Western,Franklin,255 Westwoods Blvd,"Galloway, Ohio  43119-8548",(614) 801-8075,Deborah P. Willoughby-Reed,K-4,Open,Effective,4,6,541,95.4,94.7
121723,Kindergarten Center Elementary School,046102,Fairfield,Butler,4641 Bach Ln,"Fairfield, Ohio  45014-1900",(513) 829-3900,Susan G. Lindberg,K,Open,NC,1,1,413,96.0,
121871,Mason Early Childhood Center Elementary School,050450,Mason,Warren,4631 Hickory Woods Dr,"Mason, Ohio  45040-4517",(513) 398-3741,Michael D. Zimmermann,"K,P",Open,NC,0,1,439,92.9,
121954,Stevenson Elementary School,044115,Heath,Licking,152 Cynthia St,"Heath, Ohio  43056-1274",(740) 522-8442,Penny A. Coleman,3-5,Open,Excellent,8,8,407,96.3,104.8
122028,Liberty-Benton Middle School,047449,Liberty-Benton Local School District,Hancock,9190 County Road 9,"Findlay, Ohio  45840-8811",(419) 422-9166,Steven Gfell,6-8,Open,Effective,6,7,291,97.2,99.4
122069,Amanda-Clearcreek Middle School,046847,Amanda-Clearcreek,Fairfield,328 E Main St,"Amanda, Ohio  43102-9330",(740) 969-7252,Kenneth Dille,6-8,Open,Effective,4,7,414,95.2,91.8
122077,Bettsville Middle School,049692,Bettsville,Seneca,PO Box 6,"Bettsville, Ohio  44815-0006",(419) 986-5166,David L. Madaras,5-8,Open,Continuous Improvement,4,9,71,96.0,88.5
122093,Robert F Schultz Elementary School,043877,Delaware,Delaware,499 Applegate Ln,"Delaware, Ohio  43015-4228",(740) 833-1400,Patricia M. Bohmer,K-4,Open,Excellent,6,6,388,95.5,100.6
122127,Green Primary Elementary School,049619,Green,Scioto,535 Junior Furnace Powellsville Rd,"Franklin Furnace, Ohio  45629-8807",(740) 354-9551,Jodi B. Armstrong,K-2,Open,NC,1,1,151,94.5,
122143,Brooklyn Middle School,043653,Brooklyn,Cuyahoga,9200 Biddulph Rd,"Brooklyn, Ohio  44144-2614",(216) 485-8127,Thomas F. Russo,6-8,Open,Continuous Improvement,2,7,363,94.2,88.2
122192,Juvenile Justice Center (J High School,045161,Youngstown,Mahoning,300 E Scott St,"Youngstown, Ohio  44505-2963",(330) 746-2278,,7-12,Open,NC,0,0,--,--,
122507,Mary Emma Bailey Elementary School,047027,Dublin,Franklin,4900 Brandonway Dr,"Dublin, Ohio  43017-8418",(614) 717-6611,Phillip E. Niemie,K-5,Open,Excellent,8,8,517,96.8,107.7
122622,Mariemont Junior High School,044313,Mariemont,Hamilton,6743 Chestnut St,"Cincinnati, Ohio  45227-3600",(513) 272-7300,Keith Koehne,7-8,Open,Excellent,5,5,291,95.8,106.5
122747,Hilliard Horizon Elementary School,047019,Hilliard,Franklin,6000 Renner Rd,"Columbus, Ohio  43228-9346",(614) 851-2180,Mary J. Rykowski,K-5,Open,Effective,6,8,512,95.4,92.9
122887,Tuscarawas Valley Middle School,050302,Tuscarawas Valley,Tuscarawas,2633 Tusky Valley Rd NE,"Zoarville, Ohio  44656-9692",(330) 859-2427,Richard L. Price,5-8,Open,Continuous Improvement,5,9,431,96.1,89.2
123026,Portage Collab Montessori Middle School,043711,Canton,Stark,239 Portage St NW,"North Canton, Ohio  44720-2737",(330) 966-1912,,K-8,Open,Effective,10,12,128,100.0,99.8
123034,Woodridge Intermediate Elementary School,049973,Woodridge Local School District,Summit,1930 Bronson Ave,"Peninsula, Ohio  44264-9602",(330) 657-2351,Elizabeth L. Gorrell,"3-5,UNG",Open,Excellent,8,8,378,95.6,99.2
123141,Alum Creek Elementary School,046763,Olentangy,Delaware,2515 Parklawn Dr,"Lewis Center, Ohio  43035-6064",(740) 657-4600,Stephen W. Sargent,K-5,Open,Excellent,8,8,656,96.2,104
123208,Southwest Licking Kindergarten Elementary School,048041,Southwest Licking,Licking,PO Box 120,"Etna, Ohio  43018-0120",(740) 927-1130,Charles L. Parsons,K,Open,NC,1,1,132,94.8,
123216,Bell Creek Elementary School,047274,Sugarcreek Local,Greene,3757 Upper Bellbrook Rd,"Bellbrook, Ohio  45305-8750",(937) 848-3757,Patricia A. Stricker,"4-5,SN",Open,Excellent,6,6,410,96.5,99.8
123307,Tussing Elementary School,046896,Pickerington,Fairfield,7117 Tussing Rd,"Reynoldsburg, Ohio  43068-4108",(614) 759-3400,Thomas C. Wilkinson,K-4,Open,Excellent,6,6,723,96.8,99.2
123398,Green Intermediate Elementary School,050013,Green,Summit,PO Box 218,"Green, Ohio  44232-0218",(330) 896-7700,Mark S. Booth,4-5,Open,Excellent,6,6,620,97.0,100.6
123422,Tecumseh (Orvjcf),060988,Department Of Youth Services,Franklin,4696 Gallia Pike,"Franklin Furnace, Ohio  45629-8600",(740) 354-7000,Patrick W. Buchanan,7-12,Open,NC,0,0,238,--,
123463,Cornerstone Elementary School,045120,Wooster,Wayne,101 W Bowman St,"Wooster, Ohio  44691-3401",(330) 262-9666,Mark J. Stefanik,K-6,Open,Effective,8,10,333,95.2,93.6
123539,Hilliard Darby High School,047019,Hilliard,Franklin,4200 Leppert Rd,"Hilliard, Ohio  43026-8466",(614) 527-4200,David J. Stewart,9-12,Open,Excellent,12,12,2239,93.9,103.2
123547,Adena Middle School,049494,Adena,Ross,3367 County Road 550,"Frankfort, Ohio  45628-9503",(740) 998-2313,Richard D. Clark,6-8,Open,Effective,5,7,280,96.5,92.6
123810,Early Childhood Center Elementary School,046110,Lakota,Butler,5070 Tylersville Rd,"West Chester, Ohio  45069-1012",(513) 874-0175,Matthew J. Glover,"K,P",Open,NC,0,1,573,91.8,
123828,Lakota Ridge Junior School,046110,Lakota,Butler,6199 Beckett Ridge Blvd,"West Chester, Ohio  45069-6413",(513) 777-0552,Ed R. Rudder,7-8,Open,Excellent,5,5,637,96.8,104
123836,Lakota East High School,046110,Lakota,Butler,6840 Lakota Ln,"Liberty Township, Ohio  45044-9578",(513) 755-7211,Ruth D. Barber,"10-12,UNG",Open,Excellent,12,12,1732,95.8,106.3
124073,Fairfield Intermediate Elementary School,046102,Fairfield,Butler,255 Donald Dr,"Fairfield, Ohio  45014-3006",(513) 829-4504,B Gayle G. Niehaus,"5-6,8-9",Open,Effective,4,5,1422,96.5,97.7
124081,Fairfield East Elementary School,046102,Fairfield,Butler,6711 Morris Rd,"Hamilton, Ohio  45011-5419",(513) 737-5000,Paul M. Otten,1-4,Open,Excellent,6,6,637,96.5,102
124214,Russellville Elementary School,046037,Eastern,Brown,239 W Main St,"Russellville, Ohio  45168-8928",(937) 377-4771,Susan D. Paeltz,K-6,Open,Effective,8,10,447,95.0,98.7
124222,Eastern Jr Junior High School,046037,Eastern,Brown,PO Box 25,"Sardinia, Ohio  45171-0025",(937) 378-6720,Rob Beucler,7-8,Open,Effective,4,5,249,95.4,94.1
124727,Gibsonburg Middle School,045385,Gibsonburg,Sandusky,740 S Main St,"Gibsonburg, Ohio  43431-9773",(419) 637-7954,Danny F. Kissell,6-8,Open,Effective,6,7,262,95.7,97.1
124859,Batavia Middle School,046300,Batavia,Clermont,800 Bauer Ave,"Batavia, Ohio  45103-2837",(513) 732-9534,Karyn A. Strong,5-8,Open,Effective,7,9,575,94.5,97
124867,East Clinton Junior High School,046409,East Clinton,Clinton,PO Box 19,"Lees Creek, Ohio  45138-0019",(937) 584-9267,Terry D. Enochs,6-8,Open,Effective,5,7,320,94.7,93.8
124875,Columbia Elementary School,050435,Kings,Warren,8263 Columbia Rd,"Kings Mills, Ohio  45034",(513) 398-8050,Gerald L. Gasper,5-6,Open,Excellent,5,5,574,96.5,105
125047,Mill Valley Elementary School,045476,Marysville Exempted Village School District,Union,633 Mill Wood Blvd,"Marysville, Ohio  43040-9339",(937) 642-3822,Greg G. Casto,K-4,Open,Excellent,6,6,529,95.7,101.6
125187,Coldwater Junior High School,045310,Coldwater,Mercer,310 N 2nd St,"Coldwater, Ohio  45828-1242",(419) 678-3331,Jerry Kanney,5-8,Open,Excellent,9,9,477,97.3,104.8
125229,Anthony Wayne Junior High School,048207,Anthony Wayne,Lucas,6035 Finzel Rd,"Whitehouse, Ohio  43571-9588",(419) 877-5342,Jeffrey E. Schwerer,7-8,Open,Excellent,5,5,650,96.6,100.1
125245,Buckeye Valley Local Middle School,046755,Buckeye Valley,Delaware,683 Coover Rd,"Delaware, Ohio  43015-9562",(740) 363-6626,Jerry R. Stewart,6-8,Open,Effective,5,7,511,94.7,95.6
125344,Darby Creek Elementary School,047019,Hilliard,Franklin,6305 Pinefield Dr,"Hilliard, Ohio  43026-7705",(614) 850-1020,Vicky L. Clark,K-5,Open,Effective,7,8,615,96.4,97.4
125351,Felicity-Franklin Middle School,046334,Felicity-Franklin Local School District,Clermont,415 Washington St,"Felicity, Ohio  45120",(513) 876-2113,Martin W. Paeltz,5-8,Open,Continuous Improvement,3,9,364,94.4,88.7
125567,Sylvania Timberstone Junior High School,044875,Sylvania,Lucas,9000 Sylvania Ave,"Sylvania, Ohio  43560-9578",(419) 824-8680,Jack V. Smith,6-8,Open,Excellent,7,7,591,96.4,105.1
125765,Locust Corner Elementary School,045559,New Richmond,Clermont,3431 Locust Corner Rd,"Cincinnati, Ohio  45245-3118",(513) 752-1432,Juliann H. Renner,K-6,Open,Effective,8,10,379,95.9,95
125773,Portsmouth West Elementary School,049650,Washington-Nile,Scioto,15332A Us Highway 52,"West Portsmouth, Ohio  45663-9093",(740) 858-1116,William F. Platzer,K-5,Open,Continuous Improvement,3,8,803,94.7,86.7
125781,Portsmouth West Middle School,049650,Washington-Nile,Scioto,1420 13th St,"West Portsmouth, Ohio  45663-5898",(740) 858-6668,Chris A. Jordan,6-8,Open,Continuous Improvement,2,7,381,92.8,85
125823,Celina Intermediate Elementary School,043729,Celina,Mercer,227 Portland St,"Celina, Ohio  45822-2035",(419) 586-8300,Sally J. Tatham,5-6,Open,Effective,4,5,371,95.7,97
125955,Kinsner Elementary School,044842,Strongsville,Cuyahoga,19091 Waterford Pkwy,"Strongsville, Ohio  44149-0936",(440) 572-7120,John J. Krupinski,K-6,Open,Excellent,9,10,547,96.6,101.1
126193,Mason Intermediate Elementary School,050450,Mason,Warren,6307 S Mason Montgomery Rd,"Mason, Ohio  45040-1727",(513) 459-2850,Catherine D. Hunter,4-6,Open,Excellent,8,8,2390,97.0,107.7
126359,Avon Middle School,048116,Avon,Lorain,3075 Stoney Ridge Rd,"Avon, Ohio  44011-1821",(440) 934-3800,Craig D. Koehler,7-8,Open,Excellent,5,5,425,96.3,102.1
127407,West Ironton Elementary School,044149,Ironton,Lawrence,1203 N 3rd St,"Ironton, Ohio  45638-1252",(740) 532-6045,Shelly M. Mcgraw,K,Open,NC,1,1,128,94.4,
127639,Bluffton Middle School,045211,Bluffton,Allen,116 S Jackson St,"Bluffton, Ohio  45817-1218",(419) 358-7961,Dean J. Giesige,6-8,Open,Excellent,7,7,251,96.1,102.8
132225,Scioto Ridge Elementary School,046763,Olentangy,Delaware,8715 Big Bear Ave,"Powell, Ohio  43065-7754",(740) 657-4800,Julie M. Nolan,K-5,Open,Excellent,8,8,620,96.4,103.4
132233,Arrowhead Elementary School,046763,Olentangy,Delaware,2385 Hollenback Rd,"Lewis Center, Ohio  43035-9043",(740) 657-4650,Kimberly A. Henderson,K-5,Open,Effective,7,8,658,96.3,98.6
132258,Union Local Middle School,046011,Union,Belmont,66859 Belmont Morristown Rd,"Belmont, Ohio  43718-9569",(740) 782-1388,Joel Davia,6-8,Open,Effective,4,7,345,94.3,90.9
132266,Union Local Elementary School,046011,Union,Belmont,66699 Belmont Morristown Rd,"Belmont, Ohio  43718-9568",(740) 782-1384,James T. Wake,K-5,Open,Effective,6,8,630,94.7,92.2
132738,Colin Powell Leadership Acad,132738,Colin Powell Leadership Acad,,834 Randolph St,"Dayton, Ohio  45408-1749",(937) 263-3937,Lorraine R. Clemons,K-12,Open,Academic Emergency,1,14,205,91.6,61.4
132746,Summit Academy-Middletown,132746,Summit Academy-Middletown,,7 S Marshall Rd,"Middletown, Ohio  45044-5375",(513) 420-9767,,"1-8,UNG",Open,Continuous Improvement,1,5,52,94.9,64
132761,Summit Academy-Xenia,132761,Summit Academy-Xenia,,870 S Detroit St,"Xenia, Ohio  45385-5510",(937) 372-5210,,"1-8,UNG",Open,Academic Watch,1,3,41,96.7,68.4
132779,Summit Academy of Creative Arts,132779,Summit Academy of Creative Arts,,864 E Market St,"Akron, Ohio  44305-2424",(330) 434-2343,,"6-8,UNG",Open,Academic Emergency,1,7,61,95.8,59
132787,Springfield Acad Of Excellence,132787,Springfield Acad Of Excellence,,623 S Center St,"Springfield, Ohio  45506-2209",(937) 325-0933,Edna Chapman,K-6,Open,Academic Emergency,2,10,242,95.0,66.5
132795,Life Skills Center-Springfield,132795,Life Skills Center-Springfield,,1637 Selma Rd,"Springfield, Ohio  45505-4245",(937) 322-2940,Edward A. Haskins,9-12,Open,Academic Emergency,0,7,178,50.2,60.4
132803,Life Skills Center-Middletown,132803,Life Skills Center-Middletown,,631 S Breiel Blvd,"Middletown, Ohio  45042-3801",(513) 423-1800,Charles E. Hall,9-12,Open,Academic Emergency,0,7,299,52.1,53.9
132944,Moraine Community School,132944,Moraine Community School,,5656 Springboro Pike,"Dayton, Ohio  45449-2806",(937) 294-4522,,K-12,Open,Continuous Improvement,2,10,173,89.1,73.1
132951,Lorain Community School,132951,Lorain Community School,,201 W Erie Ave,"Lorain, Ohio  44052-1641",(440) 204-2130,Melisa R. Munitz,K-9,Open,Continuous Improvement,4,6,165,95.3,89.9
132969,Elyria Community School,132969,Elyria Community School,,300 N Abbe Rd,"Elyria, Ohio  44035-3715",(440) 366-5225,Lee A. Henderson,K-9,Open,Continuous Improvement,5,12,194,95.2,87.6
132985,Youthbuild Columbus Community,132985,Youthbuild Columbus Community,,1183 Essex Ave,"Columbus, Ohio  43201-2925",(614) 291-0805,Derek L. Steward,9-12,Open,NC,0,2,35,75.8,36
132993,Westpark Community-Cleveland,132993,Westpark Community-Cleveland,,16210 Lorain Ave,"Cleveland, Ohio  44111-5521",(216) 688-0271,Sharon Morgan,K-9,Open,Excellent,6,6,190,95.9,102.5
133215,"Intergenerational School, The",133215,"Intergenerational School, The",,12200 Fairhill Rd,"Cleveland, Ohio  44120-1058",(216) 721-0120,Cathy Whitehouse,K-8,Open,Excellent,3,3,93,95.8,100.6
133223,Lighthouse Comm & Prof Dev,133223,Lighthouse Comm & Prof Dev,,1585 Frederick Blvd Ste 100,"Akron, Ohio  44320-4053",(330) 836-6370,Judith A. Schueller,K-8,Open,Academic Emergency,0,14,175,92.3,60.1
133256,Parma Community,133256,Parma Community,,7667 Day Dr Fl 1ST,"Parma, Ohio  44129-5603",(440) 888-5490,John D. Roberts,K-8,Open,Effective,10,14,258,95.8,96.1
133264,Dohn Community,133264,Dohn Community,,608 E Mcmillan St,"Cincinnati, Ohio  45206-1926",(513) 281-6100,Robert J. Suess,9-12,Open,Continuous Improvement,0,1,75,83.4,38.9
133280,Washington Park Community,133280,Washington Park Community,,4000 Washington Park Blvd,"Newburgh Heights, Ohio  44105-3248",(216) 271-6055,Robert Horrocks,K-8,Open,Continuous Improvement,5,14,203,94.2,87.5
133298,Summit Academy-Parma,133298,Summit Academy-Parma,,5868 Stumph Rd,"Parma, Ohio  44130-1736",(440) 888-5407,,"1-8,UNG",Closed,Academic Watch,1,10,99,95.0,65.4
133306,Summit Academy-Canton,133306,Summit Academy-Canton,,2400 Cleveland Ave NW,"Canton, Ohio  44709-3613",(330) 453-8547,,"1-8,UNG",Open,Continuous Improvement,2,5,62,93.7,65.5
133314,Summit Academy-Youngstown,133314,Summit Academy-Youngstown,,144 N Schenley Ave,"Youngstown, Ohio  44509-2041",(330) 259-0421,,"1-8,UNG",Open,Academic Emergency,1,6,146,95.0,51.4
133322,Summit Academy-Lorain,133322,Summit Academy-Lorain,,2140 E 36th St,"Lorain, Ohio  44055-2756",,,"1-8,UNG",Open,Academic Emergency,1,8,80,95.5,54.4
133330,T.C.P. World Academy,133330,T.C.P. World Academy,,6000 Ridge Ave,"Cincinnati, Ohio  45213-1624",(513) 531-9500,Karen Y. French,K-6,Open,Excellent,10,10,357,96.6,102.3
133348,Richard Allen Preparatory,133348,Richard Allen Preparatory,,1034 Superior Ave,"Dayton, Ohio  45402-5953",(937) 567-9124,Yolanda A. Clark,1-8,Open,Continuous Improvement,5,14,171,94.6,75.7
133355,A.B. Miree Fundamental Academy,133355,A.B. Miree Fundamental Academy,,1660 Sternblock Ln,"Cincinnati, Ohio  45237-3805",(513) 351-8034,,K-8,Open,Academic Watch,1,14,362,98.0,65
133363,Quest Academy Community,133363,Quest Academy Community,,190 E 8th St,"Lima, Ohio  45804-2302",(419) 227-7730,Oscar Marshall,K-6,Open,Continuous Improvement,2,6,115,95.4,81.2
133371,Omega School Of Excellence,133371,Omega School Of Excellence,,1821 Emerson Ave,"Dayton, Ohio  45406-4802",(937) 278-2372,,5-7,Open,Academic Emergency,1,9,140,93.8,65.6
133389,Lighthouse Community Sch Inc,133389,Lighthouse Community Sch Inc,,6100 Desmond St,"Cincinnati, Ohio  45227-1897",(513) 561-7888,Daniel L. Trujillo,6-12,Open,Academic Watch,0,1,62,87.5,40
133397,Montessori Renaissance Experience,133397,Montessori Renaissance Experience,,PO Box 10241,"Columbus, Ohio  43201-7241",(614) 262-6510,Cynthia D. Frazier,K-5,Open,Continuous Improvement,1,3,47,91.3,80.2
133405,W.E.B. Dubois,133405,W.E.B. Dubois,,1812 Central Pkwy,"Cincinnati, Ohio  45214-2304",(513) 702-3057,,K-12,Open,Effective,16,19,675,99.3,99.2
133413,Electronic Classroom Of Tomorrow,133413,Electronic Classroom Of Tomorrow,,3700 S High St Ste 95,"Columbus, Ohio  43207-4083",(614) 492-8884,Jeffrey P. Forster,K-12,Open,Continuous Improvement,3,25,6664,100.0,74.1
133421,"Graham School, The",133421,"Graham School, The",,3950 Indianola Ave,"Columbus, Ohio  43214-3158",(614) 262-1111,,9-12,Open,Effective,9,12,236,94.4,96.2
133439,Cornerstone Academy Community,133439,Cornerstone Academy Community,,61 E Mound St,"Columbus, Ohio  43215-5121",(614) 225-8924,Diane K. Benjamin,K-12,Open,Academic Emergency,0,3,48,89.4,63.6
133447,Alliance Academy of Toledo,133447,Alliance Academy of Toledo,,1501 Monroe St Ste 2ND,"Toledo, Ohio  43624-1752",(419) 418-5155,Letha Ferguson,K-12,Open,Academic Emergency,0,20,350,87.0,56.5
133454,Dayton View Academy,133454,Dayton View Academy,,1416 W Riverview Ave,"Dayton, Ohio  45402-6217",(937) 567-9426,Amy N. Doerman,K-8,Open,Academic Watch,1,14,793,93.6,73.8
133462,Imani Institute Leadership School,133462,Imani Institute Leadership School,,1148 Euclid Ave Ste 200,"Cleveland, Ohio  44115-1604",(216) 344-9934,Sharon D. Golden,,Closed,NC,--,--,--,--,0
133470,Maud Booth Academy,133470,Maud Booth Academy,,300 Lytle St,"Cincinnati, Ohio  45202-4212",(513) 241-1121,Major R. Mcneil,K-6,Open,Academic Watch,1,8,125,79.1,67.4
133488,Life Skills Of Trumbull County,133488,Life Skills Of Trumbull County,,458 Franklin St SE,"Warren, Ohio  44483-5715",(330) 392-0231,Kerry J. Jupina,9-12,Open,Academic Emergency,0,9,311,49.4,47
133504,Phoenix Community Learning Ctr,133504,Phoenix Community Learning Ctr,,7030 Reading Rd Ste 350,"Cincinnati, Ohio  45237-3839",(513) 351-5801,Glenda D. Brown,K-8,Open,Effective,10,14,342,95.5,93.6
133512,Cincinnati College Preparatory Academy,133512,Cincinnati College Preparatory Academy,,1425 Linn St,"Cincinnati, Ohio  45214-2605",(513) 684-0777,Guyton Mathews,K-8,Open,Effective,11,14,500,92.6,96.7
133520,Citizens Academy,133520,Citizens Academy,,1827 Ansel Rd,"Cleveland, Ohio  44106-4107",(216) 791-4195,Monyka S. Price,K-5,Open,Continuous Improvement,2,8,287,93.6,84.6
133538,"Edge Academy, The",133538,"Edge Academy, The",,92 N Union St,"Akron, Ohio  44304-1347",(330) 535-5023,Lori A. Grimaldi,K-8,Open,Continuous Improvement,4,14,248,92.8,80.8
133553,Ida B Wells Community Academy,133553,Ida B Wells Community Academy,,1180 Slosson St,"Akron, Ohio  44320-2730",(330) 867-1085,Angela M. Neeley,K-8,Open,Continuous Improvement,2,12,118,93.3,70.7
133561,Millennium Community,133561,Millennium Community,,1850 Bostwick Rd,"Columbus, Ohio  43227-3301",(614) 255-5585,Tanya L. Brown-shoultz,K-6,Open,Academic Emergency,0,8,515,91.4,64.8
133587,Summit Academy Of Alt Learners,133587,Summit Academy Of Alt Learners,,819 E Market St,"Akron, Ohio  44305-2441",(330) 253-7441,,"1-8,UNG",Open,Continuous Improvement,1,3,60,93.9,82.5
133603,Wow Community School,043844,Dayton,Montgomery,4411 Oakridge Dr,"Dayton, Ohio  45417-1144",(937) 542-3600,,K-6,Open,Continuous Improvement,3,10,374,94.9,82.7
133629,Horizon Science Acad Cleveland,133629,Horizon Science Acad Cleveland,,6000 S Marginal Rd,"Cleveland, Ohio  44103-1042",(216) 432-3660,David H. Disli,6-12,Open,Effective,13,16,412,95.6,93.9
133660,Horizon Science Acad Columbus,133660,Horizon Science Acad Columbus,,1329 Bethel Rd,"Columbus, Ohio  43220-2611",(614) 846-7616,,5-12,Open,Continuous Improvement,9,19,581,93.0,85.4
133678,Riverside Academy,133678,Riverside Academy,,3280 River Rd,"Cincinnati, Ohio  45204-1214",(513) 921-7777,Roger T. Conners,K-8,Open,Continuous Improvement,4,14,457,94.1,81.1
133694,International Preparatory School,133694,International Preparatory School,,10701 Shaker Blvd,"Cleveland, Ohio  44104-3752",(216) 518-9297,,,Closed,NC,0,0,--,--,0
133736,Richard Allen Academy,133736,Richard Allen Academy,,700 Heck Ave,"Dayton, Ohio  45408-2641",(937) 586-9815,Kimberly Cockrell,1-8,Open,Effective,8,14,193,96.7,92.5
133744,The ISUS Institute of Construction Technology,133744,The ISUS Institute of Construction Technology,,140 N Keowee St,"Dayton, Ohio  45402-1309",(937) 223-2323,Gary L. Cross,"9-12,UNG",Open,Academic Emergency,0,6,120,76.1,0
133751,Rhea Academy Inc,133751,Rhea Academy Inc,,113 E 3rd St,"Dayton, Ohio  45402-2129",(937) 461-7432,James Rhea,K-7,Open,Academic Watch,1,3,83,96.8,69.6
133769,New Choices Community School,133769,New Choices Community School,,601 S Keowee St,"Dayton, Ohio  45410-1168",(937) 224-8201,,7-9,Open,Academic Emergency,0,5,202,90.9,57
133785,Life Skills Ctr Of Cincinnati,133785,Life Skills Ctr Of Cincinnati,,2612 Gilbert Ave,"Cincinnati, Ohio  45206-1205",(513) 475-0222,Kevin Jamison,9-12,Open,Academic Emergency,0,7,438,38.4,45.2
133801,Life Skills Ctr Of Youngstown,133801,Life Skills Ctr Of Youngstown,,3405 Market St,"Youngstown, Ohio  44507-2009",(330) 743-6698,Jeremy Batchelor,9-12,Open,Academic Emergency,0,10,312,50.1,62.9
